PER,year,val
Q12001,2001,143589
Q22001,2001,129629
Q32001,2001,118324
Q42001,2001,114099
Q12002,2002,109628
Q22002,2002,110307
Q32002,2002,109010
Q42002,2002,111189
Q12003,2003,104386
Q22003,2003,105610
Q32003,2003,107824
Q42003,2003,126493
Q12004,2004,121893
Q22004,2004,128661
Q32004,2004,132058
Q42004,2004,139786
Q12005,2005,133387
Q22005,2005,137453
Q32005,2005,139365
Q42005,2005,146842
Q12006,2006,139767
Q22006,2006,142605
Q32006,2006,146064
Q42006,2006,138892
Q12007,2007,134560
Q22007,2007,136588
Q32007,2007,143312
Q42007,2007,150606
Q12008,2008,139229
Q22008,2008,144953
Q32008,2008,148231
Q42008,2008,143337
Q12009,2009,125090
Q22009,2009,126903
Q32009,2009,132528
Q42009,2009,141863
Q12010,2010,138985
Q22010,2010,148852
Q32010,2010,154315
Q42010,2010,154935
Q12011,2011,146766
Q22011,2011,149305
Q32011,2011,150038
Q42011,2011,158634
Q12012,2012,145437
Q22012,2012,148727
Q32012,2012,147445
Q42012,2012,154886
Q12013,2013,141541
Q22013,2013,147712
Q32013,2013,149358
Q42013,2013,161686
Q12014,2014,145280
Q22014,2014,151320
Q32014,2014,154250
Q42014,2014,168108
Q12015,2015,150947
Q22015,2015,155075
Q32015,2015,155756
Q42015,2015,170378
Q12016,2016,151309
Q22016,2016,154514
Q32016,2016,160538
Q42016,2016,173966
Q12017,2017,156118
Q22017,2017,157542
Q32017,2017,164265
Q42017,2017,180020
Q12018,2018,163557
Q22018,2018,171416
Q32018,2018,175565
Q42018,2018,187433
Q12019,2019,170257
Q22019,2019,171963
Q32019,2019,179856
Q42019,2019,187663
Q12020,2020,162667
Q22020,2020,151616
Q32020,2020,163914
Q42020,2020,187668
Q12021,2021,171430
Q22021,2021,177620
Q32021,2021,183385
Q42021,2021,202853
